,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_T,1o,92.31,3.38,4.31
1,3_T,1o,91.87,3.37,4.76
2,2_T,2odifferent,91.46,3.31,5.23
3,4_T,1o,91.44,3.35,5.21
4,5_T,1o,91.44,3.35,5.21
5,3_T,2odifferent,91.04,3.28,5.69
6,5_T,2odifferent,90.61,3.25,6.14
7,4_T,2odifferent,90.61,3.25,6.14
8,6_T,1o,90.11,3.2,6.69
9,6_T,2odifferent,89.31,3.08,7.61
10,2_9,2osame,89.06,0.58,10.37
11,2_9,2osame,89.06,0.58,10.37
12,2_7,2osame,88.91,0.58,10.51
13,2_7,2osame,88.91,0.58,10.51
14,3_8,2osame,88.76,0.57,10.67
15,3_8,2osame,88.76,0.57,10.67
16,2_8,2osame,88.76,0.57,10.67
17,2_8,2osame,88.76,0.57,10.67
18,7_T,1o,88.73,3.1,8.17
19,3_9,2osame,88.62,0.56,10.82
20,3_9,2osame,88.62,0.56,10.82
21,4_9,2osame,88.61,0.56,10.83
22,4_9,2osame,88.61,0.56,10.83
23,2_9,1o,88.3,0.54,11.16
24,2_9,1o,88.3,0.5,11.21
25,2_7,1o,88.16,0.54,11.3
26,2_7,1o,88.16,0.5,11.34
27,2_8,1o,88.02,0.53,11.45
28,3_8,1o,88.01,0.51,11.47
29,2_8,1o,88.01,0.49,11.5
30,3_8,1o,88.01,0.49,11.5
31,7_T,2odifferent,87.94,2.98,9.07
32,4_9,1o,87.87,0.49,11.63
33,3_9,1o,87.87,0.51,11.62
34,3_9,1o,87.87,0.48,11.65
35,4_9,1o,87.86,0.48,11.66
36,2_9,2odifferent,87.55,0.46,11.99
37,2_7,2odifferent,87.41,0.46,12.13
38,8_T,1o,87.36,2.99,9.65
39,2_6,2osame,87.34,0.57,12.09
40,2_6,2osame,87.34,0.57,12.09
41,2_8,2odifferent,87.26,0.45,12.28
42,3_8,2odifferent,87.26,0.43,12.3
43,3_7,2osame,87.13,0.56,12.3
44,3_7,2osame,87.13,0.56,12.3
45,3_9,2odifferent,87.12,0.43,12.45
46,4_9,2odifferent,87.12,0.42,12.46
47,4_8,2osame,86.98,0.56,12.46
48,4_8,2osame,86.98,0.56,12.46
49,5_9,2osame,86.88,0.56,12.56
50,5_9,2osame,86.88,0.56,12.56
51,2_T,2s,86.78,3.13,10.1
52,2_6,1o,86.61,0.49,12.89
53,2_6,1o,86.61,0.54,12.85
54,8_T,2odifferent,86.59,2.87,10.54
55,6_9,2osame,86.52,0.51,12.97
56,6_9,2osame,86.52,0.51,12.97
57,3_7,1o,86.41,0.49,13.11
58,3_7,1o,86.41,0.51,13.08
59,7_9,2osame,86.38,0.52,13.1
60,3_T,2s,86.38,3.12,10.5
61,7_9,2osame,86.38,0.52,13.1
62,8_9,2osame,86.28,0.53,13.19
63,8_9,2osame,86.28,0.53,13.19
64,4_8,1o,86.27,0.49,13.24
65,4_8,1o,86.26,0.48,13.26
66,5_9,1o,86.16,0.49,13.35
67,5_9,1o,86.15,0.48,13.37
68,2_3,2osame,86.08,0.63,13.29
69,2_3,2osame,86.08,0.63,13.29
70,9_T,1o,86.01,2.86,11.13
71,4_T,2s,85.99,3.11,10.91
72,5_T,2s,85.99,3.11,10.91
73,2_6,2odifferent,85.88,0.46,13.66
74,6_9,1o,85.81,0.44,13.75
75,6_9,1o,85.8,0.43,13.76
76,3_7,2odifferent,85.68,0.43,13.88
77,7_9,1o,85.67,0.44,13.89
78,7_9,1o,85.67,0.44,13.88
79,2_5,2osame,85.64,0.61,13.74
80,2_5,2osame,85.64,0.61,13.74
81,2_4,2osame,85.64,0.61,13.74
82,2_4,2osame,85.64,0.61,13.74
83,8_9,1o,85.58,0.45,13.97
84,8_9,1o,85.57,0.45,13.98
85,3_6,2osame,85.56,0.56,13.87
86,3_6,2osame,85.56,0.56,13.87
87,4_8,2odifferent,85.54,0.41,14.05
88,5_9,2odifferent,85.43,0.41,14.16
89,2_3,1o,85.37,0.57,14.06
90,2_3,1o,85.37,0.59,14.04
91,4_7,2osame,85.36,0.55,14.09
92,4_7,2osame,85.36,0.55,14.09
93,5_8,2osame,85.25,0.56,14.19
94,9_T,2odifferent,85.25,2.75,12.0
95,5_8,2osame,85.25,0.56,14.19
96,6_9,2odifferent,85.1,0.36,14.55
97,7_9,2odifferent,84.96,0.36,14.67
98,2_5,1o,84.94,0.54,14.52
99,2_4,1o,84.94,0.55,14.51
100,2_4,1o,84.94,0.58,14.49
101,2_5,1o,84.93,0.58,14.49
102,6_8,2osame,84.89,0.51,14.6
103,6_8,2osame,84.89,0.51,14.6
104,8_9,2odifferent,84.87,0.37,14.75
105,3_6,1o,84.86,0.48,14.65
106,3_6,1o,84.86,0.51,14.63
107,6_T,2s,84.76,2.97,12.27
108,7_8,2osame,84.75,0.52,14.73
109,7_8,2osame,84.75,0.52,14.73
110,4_7,1o,84.66,0.49,14.85
111,4_7,1o,84.66,0.48,14.87
112,2_3,2odifferent,84.66,0.54,14.81
113,2_9,1s,84.65,0.56,14.79
114,5_8,1o,84.55,0.48,14.97
115,5_8,1o,84.55,0.48,14.96
116,2_7,1s,84.53,0.56,14.91
117,2_8,1s,84.39,0.55,15.06
118,3_8,1s,84.38,0.55,15.06
119,3_9,1s,84.24,0.55,15.21
120,4_9,1s,84.24,0.55,15.21
121,2_4,2odifferent,84.23,0.51,15.26
122,2_5,2odifferent,84.23,0.5,15.27
123,6_8,1o,84.21,0.43,15.36
124,6_8,1o,84.2,0.43,15.37
125,3_6,2odifferent,84.16,0.43,15.41
126,7_8,1o,84.07,0.44,15.5
127,7_8,1o,84.07,0.44,15.49
128,4_7,2odifferent,83.96,0.41,15.63
129,3_5,2osame,83.87,0.6,15.53
130,3_4,2osame,83.87,0.6,15.53
131,3_5,2osame,83.87,0.6,15.53
132,3_4,2osame,83.87,0.6,15.53
133,5_8,2odifferent,83.85,0.4,15.74
134,4_6,2osame,83.79,0.55,15.66
135,4_6,2osame,83.79,0.55,15.66
136,5_7,2osame,83.68,0.55,15.77
137,5_7,2osame,83.68,0.55,15.77
138,6_8,2odifferent,83.52,0.35,16.13
139,7_T,2s,83.48,2.89,13.62
140,2_9,2s,83.42,0.47,16.11
141,7_8,2odifferent,83.38,0.36,16.26
142,6_7,2osame,83.32,0.51,16.17
143,6_7,2osame,83.32,0.51,16.17
144,2_7,2s,83.28,0.47,16.26
145,3_5,1o,83.19,0.55,16.27
146,3_4,1o,83.19,0.53,16.28
147,3_5,1o,83.19,0.53,16.28
148,3_4,1o,83.19,0.55,16.27
149,3_8,2s,83.15,0.46,16.39
150,2_8,2s,83.15,0.46,16.39
151,4_6,1o,83.11,0.48,16.4
152,4_6,1o,83.11,0.47,16.41
153,2_6,1s,83.06,0.55,16.39
154,3_9,2s,83.03,0.46,16.52
155,4_9,2s,83.03,0.46,16.52
156,5_7,1o,83.01,0.48,16.51
157,5_7,1o,83.0,0.48,16.52
158,3_7,1s,82.86,0.55,16.59
159,4_8,1s,82.72,0.54,16.74
160,6_7,1o,82.66,0.43,16.91
161,6_7,1o,82.66,0.43,16.92
162,5_9,1s,82.63,0.55,16.83
163,3_4,2odifferent,82.51,0.48,17.01
164,3_5,2odifferent,82.51,0.47,17.02
165,5_6,2osame,82.47,0.55,16.98
166,5_6,2osame,82.47,0.55,16.98
167,4_6,2odifferent,82.44,0.41,17.15
168,9_9,2osame,82.4,0.58,17.02
169,5_7,2odifferent,82.33,0.4,17.27
170,6_9,1s,82.27,0.5,17.23
171,8_T,2s,82.21,2.81,14.98
172,2_2,2osame,82.21,0.64,17.15
173,7_9,1s,82.11,0.5,17.38
174,4_5,2osame,82.09,0.59,17.32
175,4_5,2osame,82.09,0.59,17.32
176,8_8,2osame,82.02,0.57,17.41
177,8_9,1s,82.0,0.51,17.49
178,6_7,2odifferent,81.99,0.35,17.66
179,2_3,1s,81.87,0.6,17.53
180,2_6,2s,81.84,0.47,17.7
181,5_6,1o,81.82,0.47,17.71
182,5_6,1o,81.82,0.48,17.71
183,3_3,2osame,81.78,0.61,17.61
184,9_9,1o,81.75,0.5,17.75
185,3_7,2s,81.66,0.46,17.88
186,7_7,2osame,81.65,0.55,17.8
187,2_2,1o,81.56,0.6,17.83
188,4_8,2s,81.54,0.45,18.01
189,2_4,1s,81.46,0.59,17.94
190,2_5,1s,81.46,0.59,17.94
191,5_9,2s,81.45,0.46,18.09
192,4_5,1o,81.44,0.52,18.04
193,4_5,1o,81.44,0.52,18.04
194,3_6,1s,81.39,0.55,18.06
195,8_8,1o,81.38,0.49,18.13
196,4_4,2osame,81.35,0.58,18.07
197,6_6,2osame,81.33,0.54,18.13
198,5_5,2osame,81.33,0.58,18.09
199,4_7,1s,81.19,0.54,18.27
200,5_6,2odifferent,81.16,0.4,18.44
201,3_3,1o,81.14,0.56,18.3
202,6_9,2s,81.13,0.41,18.46
203,5_8,1s,81.1,0.54,18.35
204,9_9,2odifferent,81.1,0.42,18.48
205,7_9,2s,81.01,0.42,18.57
206,7_7,1o,81.01,0.47,18.52
207,9_T,2s,80.96,2.7,16.34
208,8_9,2s,80.93,0.43,18.65
209,2_2,2odifferent,80.92,0.57,18.51
210,4_5,2odifferent,80.79,0.45,18.76
211,6_8,1s,80.74,0.5,18.76
212,8_8,2odifferent,80.74,0.41,18.86
213,4_4,1o,80.72,0.52,18.76
214,6_6,1o,80.7,0.46,18.84
215,5_5,1o,80.7,0.51,18.79
216,2_3,2s,80.68,0.53,18.79
217,7_8,1s,80.59,0.5,18.91
218,3_3,2odifferent,80.51,0.5,18.99
219,7_7,2odifferent,80.37,0.4,19.23
220,2_4,2s,80.28,0.51,19.2
221,2_5,2s,80.28,0.51,19.21
222,3_6,2s,80.22,0.46,19.32
223,4_4,2odifferent,80.09,0.45,19.46
224,6_6,2odifferent,80.07,0.39,19.55
225,5_5,2odifferent,80.07,0.43,19.49
226,4_7,2s,80.05,0.45,19.5
227,5_8,2s,79.96,0.45,19.59
228,3_5,1s,79.8,0.58,19.62
229,3_4,1s,79.8,0.58,19.62
230,4_6,1s,79.72,0.54,19.74
231,6_8,2s,79.64,0.41,19.95
232,5_7,1s,79.63,0.54,19.83
233,7_8,2s,79.52,0.42,20.07
234,6_7,1s,79.27,0.49,20.23
235,3_4,2s,78.67,0.5,20.83
236,3_5,2s,78.67,0.5,20.83
237,4_6,2s,78.61,0.45,20.94
238,5_7,2s,78.52,0.45,21.03
239,5_6,1s,78.5,0.54,20.97
240,6_7,2s,78.2,0.41,21.39
241,4_5,1s,78.13,0.57,21.3
242,5_6,2s,77.41,0.45,22.14
243,4_5,2s,77.05,0.49,22.46
244,2_J,1o,73.27,0.46,26.28
245,2_Q,1o,73.15,0.44,26.41
246,2_J,2osame,73.07,0.53,26.4
247,2_J,2osame,73.07,0.53,26.4
248,2_K,1o,73.03,0.43,26.54
249,2_Q,2osame,72.95,0.52,26.53
250,2_Q,2osame,72.95,0.52,26.53
251,3_J,1o,72.88,0.44,26.68
252,2_K,2osame,72.83,0.51,26.66
253,2_K,2osame,72.83,0.51,26.66
254,3_Q,1o,72.76,0.42,26.82
255,2_J,2odifferent,72.73,0.42,26.85
256,8_K,1o,72.68,0.37,26.95
257,3_J,2osame,72.67,0.52,26.81
258,3_J,2osame,72.67,0.52,26.81
259,3_K,1o,72.64,0.41,26.95
260,2_Q,2odifferent,72.62,0.4,26.98
261,7_Q,1o,72.59,0.37,27.03
262,3_Q,2osame,72.55,0.5,26.94
263,3_Q,2osame,72.55,0.5,26.94
264,2_J,1o,72.54,0.5,26.96
265,6_J,1o,72.51,0.38,27.11
266,2_K,2odifferent,72.5,0.39,27.11
267,5_J,1o,72.49,0.43,27.09
268,4_J,1o,72.49,0.43,27.09
269,8_K,2osame,72.47,0.45,27.08
270,8_K,2osame,72.47,0.45,27.08
271,3_K,2osame,72.44,0.49,27.07
272,3_K,2osame,72.44,0.49,27.07
273,2_Q,1o,72.42,0.48,27.1
274,7_Q,2osame,72.39,0.45,27.16
275,7_Q,2osame,72.39,0.45,27.16
276,4_Q,1o,72.37,0.41,27.22
277,5_Q,1o,72.37,0.41,27.22
278,9_A,1o,72.37,0.36,27.27
279,3_J,2odifferent,72.35,0.39,27.26
280,6_J,2osame,72.3,0.46,27.24
281,6_J,2osame,72.3,0.46,27.24
282,2_K,1o,72.3,0.47,27.23
283,5_J,2osame,72.28,0.51,27.22
284,4_J,2osame,72.28,0.51,27.22
285,4_J,2osame,72.28,0.51,27.22
286,7_K,1o,72.28,0.36,27.37
287,5_J,2osame,72.28,0.51,27.22
288,9_K,1o,72.26,0.38,27.36
289,6_Q,1o,72.25,0.36,27.39
290,4_K,1o,72.25,0.4,27.35
291,5_K,1o,72.25,0.4,27.35
292,3_Q,2odifferent,72.23,0.37,27.4
293,8_Q,1o,72.17,0.38,27.44
294,4_Q,2osame,72.16,0.49,27.35
295,9_A,2osame,72.16,0.44,27.4
296,5_Q,2osame,72.16,0.49,27.35
297,9_A,2osame,72.16,0.44,27.4
298,5_Q,2osame,72.16,0.49,27.35
299,4_Q,2osame,72.16,0.49,27.35
300,3_J,1o,72.15,0.47,27.39
301,8_K,2odifferent,72.15,0.29,27.56
302,6_K,1o,72.13,0.35,27.52
303,3_K,2odifferent,72.12,0.36,27.53
304,7_J,1o,72.09,0.39,27.52
305,7_K,2osame,72.07,0.44,27.5
306,7_K,2osame,72.07,0.44,27.5
307,7_Q,2odifferent,72.07,0.3,27.63
308,6_Q,2osame,72.04,0.44,27.52
309,5_K,2osame,72.04,0.48,27.48
310,5_K,2osame,72.04,0.48,27.48
311,4_K,2osame,72.04,0.48,27.48
312,4_K,2osame,72.04,0.48,27.48
313,9_K,2osame,72.04,0.46,27.5
314,9_K,2osame,72.04,0.46,27.5
315,6_Q,2osame,72.04,0.44,27.52
316,3_Q,1o,72.03,0.45,27.52
317,6_A,1o,72.01,0.35,27.64
318,6_J,2odifferent,71.99,0.31,27.7
319,5_J,2odifferent,71.97,0.35,27.68
320,8_A,1o,71.97,0.34,27.68
321,4_J,2odifferent,71.97,0.36,27.67
322,8_Q,2osame,71.96,0.46,27.58
323,8_Q,2osame,71.96,0.46,27.58
324,8_K,1o,71.95,0.37,27.68
325,6_K,2osame,71.92,0.43,27.65
326,6_K,2osame,71.92,0.43,27.65
327,3_K,1o,71.91,0.44,27.65
328,7_J,2osame,71.87,0.47,27.66
329,7_Q,1o,71.87,0.37,27.76
330,7_J,2osame,71.87,0.47,27.66
331,9_A,2odifferent,71.85,0.28,27.87
332,5_Q,2odifferent,71.85,0.34,27.81
333,4_Q,2odifferent,71.85,0.34,27.8
334,6_A,2osame,71.8,0.42,27.77
335,6_A,2osame,71.8,0.42,27.77
336,6_J,1o,71.78,0.39,27.83
337,7_A,1o,71.77,0.34,27.89
338,8_A,2osame,71.76,0.42,27.82
339,7_K,2odifferent,71.76,0.28,27.96
340,8_A,2osame,71.76,0.42,27.82
341,5_J,1o,71.76,0.43,27.81
342,4_J,1o,71.76,0.44,27.8
343,9_Q,1o,71.76,0.39,27.85
344,9_K,2odifferent,71.74,0.3,27.96
345,6_Q,2odifferent,71.74,0.28,27.98
346,4_K,2odifferent,71.73,0.33,27.93
347,5_K,2odifferent,71.73,0.33,27.94
348,8_J,1o,71.67,0.4,27.92
349,8_Q,2odifferent,71.66,0.3,28.03
350,9_A,1o,71.64,0.36,28.0
351,4_Q,1o,71.64,0.42,27.93
352,5_Q,1o,71.64,0.42,27.94
353,6_K,2odifferent,71.62,0.27,28.11
354,7_J,2odifferent,71.58,0.31,28.1
355,7_K,1o,71.55,0.36,28.09
356,7_A,2osame,71.55,0.42,28.03
357,7_A,2osame,71.55,0.42,28.03
358,9_K,1o,71.53,0.38,28.09
359,6_Q,1o,71.53,0.36,28.11
360,9_Q,2osame,71.53,0.47,28.0
361,5_K,1o,71.53,0.41,28.07
362,9_Q,2osame,71.53,0.47,28.0
363,4_K,1o,71.53,0.41,28.06
364,6_A,2odifferent,71.5,0.27,28.23
365,8_A,2odifferent,71.46,0.27,28.27
366,8_J,2osame,71.44,0.48,28.08
367,8_J,2osame,71.44,0.48,28.08
368,8_Q,1o,71.44,0.38,28.17
369,2_A,1o,71.43,0.41,28.16
370,6_K,1o,71.41,0.35,28.24
371,7_J,1o,71.36,0.39,28.24
372,6_A,1o,71.29,0.35,28.36
373,9_Q,2odifferent,71.26,0.31,28.43
374,9_J,1o,71.26,0.41,28.33
375,7_A,2odifferent,71.26,0.26,28.48
376,8_A,1o,71.25,0.35,28.41
377,2_A,2osame,71.21,0.49,28.3
378,2_A,2osame,71.21,0.49,28.3
379,8_J,2odifferent,71.18,0.32,28.5
380,7_A,1o,71.05,0.34,28.61
381,3_A,1o,71.03,0.4,28.57
382,9_Q,1o,71.02,0.39,28.58
383,9_J,2osame,71.01,0.49,28.5
384,9_J,2osame,71.01,0.49,28.5
385,8_J,1o,70.94,0.4,28.66
386,2_A,2odifferent,70.92,0.38,28.71
387,3_A,2osame,70.81,0.48,28.71
388,3_A,2osame,70.81,0.48,28.71
389,9_J,2odifferent,70.77,0.33,28.9
390,2_A,1o,70.7,0.46,28.84
391,5_A,1o,70.64,0.38,28.97
392,4_A,1o,70.64,0.38,28.97
393,3_A,2odifferent,70.54,0.34,29.12
394,9_J,1o,70.52,0.41,29.07
395,4_A,2osame,70.42,0.47,29.12
396,4_A,2osame,70.42,0.47,29.12
397,5_A,2osame,70.42,0.47,29.12
398,5_A,2osame,70.42,0.47,29.12
399,3_A,1o,70.31,0.42,29.26
400,4_A,2odifferent,70.15,0.32,29.53
401,5_A,2odifferent,70.15,0.31,29.54
402,4_A,1o,69.93,0.4,29.68
403,5_A,1o,69.92,0.39,29.68
404,2_J,1s,69.48,0.52,30.0
405,2_Q,1s,69.37,0.5,30.13
406,2_K,1s,69.26,0.49,30.26
407,3_J,1s,69.12,0.51,30.38
408,3_Q,1s,69.01,0.49,30.51
409,2_J,2s,68.94,0.43,30.62
410,8_K,1s,68.91,0.44,30.66
411,3_K,1s,68.89,0.48,30.63
412,7_Q,1s,68.84,0.44,30.72
413,2_Q,2s,68.81,0.41,30.77
414,6_J,1s,68.78,0.45,30.77
415,4_J,1s,68.76,0.49,30.75
416,5_J,1s,68.76,0.49,30.75
417,2_K,2s,68.69,0.4,30.91
418,4_Q,1s,68.64,0.48,30.88
419,5_Q,1s,68.64,0.48,30.88
420,9_A,1s,68.61,0.42,30.97
421,3_J,2s,68.59,0.42,30.99
422,7_K,1s,68.54,0.42,31.04
423,5_K,1s,68.53,0.47,31.0
424,6_Q,1s,68.53,0.43,31.04
425,4_K,1s,68.53,0.47,31.0
426,9_K,1s,68.48,0.44,31.08
427,3_Q,2s,68.46,0.4,31.14
428,6_K,1s,68.41,0.42,31.17
429,8_Q,1s,68.41,0.45,31.14
430,8_K,2s,68.38,0.35,31.27
431,7_J,1s,68.35,0.46,31.19
432,3_K,2s,68.33,0.39,31.28
433,7_Q,2s,68.32,0.36,31.32
434,6_A,1s,68.3,0.41,31.28
435,6_J,2s,68.26,0.37,31.37
436,4_J,2s,68.24,0.41,31.35
437,8_A,1s,68.24,0.41,31.35
438,5_J,2s,68.23,0.41,31.35
439,T_A,2odifferent,68.2,2.13,29.68
440,4_Q,2s,68.11,0.39,31.5
441,5_Q,2s,68.11,0.39,31.5
442,9_A,2s,68.09,0.34,31.57
443,7_A,1s,68.06,0.41,31.53
444,7_K,2s,68.02,0.34,31.64
445,6_Q,2s,68.01,0.35,31.65
446,9_K,2s,67.99,0.36,31.65
447,5_K,2s,67.98,0.38,31.64
448,9_Q,1s,67.98,0.45,31.57
