hand,fold,raise_2.5bb,ev_raise_2.5bb
AA,0,1,0.62
KK,0,1,0.55
QQ,0,1,0.48
JJ,0,0.95,0.41
TT,0,0.88,0.35
99,0,0.72,0.28
88,0,0.55,0.18
77,0,0.42,0.10
66,0,0.28,0.02
55,0,0.15,-0.06
44,0,0.08,-0.12
33,0,0.05,-0.15
22,0,0.03,-0.18
AKs,0,1,0.38
AQs,0,1,0.32
AJs,0,0.98,0.28
ATs,0,0.92,0.24
A9s,0,0.65,0.12
A8s,0,0.45,0.05
A7s,0,0.35,-0.02
A6s,0,0.28,-0.06
A5s,0,0.55,0.08
A4s,0,0.48,0.04
A3s,0,0.42,0.01
A2s,0,0.38,-0.01
AKo,0,0.95,0.30
AQo,0,0.85,0.22
AJo,0,0.55,0.08
ATo,0,0.35,-0.04
A9o,0,0.12,-0.18
KQs,0,0.95,0.26
KJs,0,0.82,0.18
KTs,0,0.62,0.08
KQo,0,0.48,0.02
QJs,0,0.75,0.14
QTs,0,0.52,0.04
JTs,0,0.58,0.06
T9s,0,0.45,0.00
98s,0,0.38,-0.04
87s,0,0.35,-0.05
76s,0,0.32,-0.06
65s,0,0.30,-0.07
54s,0,0.28,-0.08
72o,1,0,-0.50
32o,1,0,-0.55
